ID;Question;Options
87;Två biverkningar vid litiumbehandling bör kontrolleras extra tätt. Vilka?;Hjärnblödning och hjärninfarkt;Tromboembolism och njurfunktionspåverkan;Ämnesomsättningsrubbning (Tyreoidea) och gikt;Leukopeni och tromobytopeni;Njurfunktionspåverkan och ämnesomsättningsrubbning (Tyreoidea)
88;Vilket kriterium är endast avgörande för konvertering av psykiatrisk vård från frivillig till tvångsvård?;Risk att skada sig själv eller andra;Patienten samtycker inte till erbjuden vård;Patienten vill bli utskriven från sjukhuset;Allvarlig psykisk störning;Oundgängligt behov av dygnetruntvård
89;Kan samma läkare som utfärdar vårdintyg fatta intagningsbeslutet enligt LPT?;Ja, om hen är specialistläkare inom psykiatri.;Ja, om hen är specialistläkare inom psykiatri och är ansvarig bakjour.;Ja, om hen har minst fem års erfarenhet.;Nej, ett tvåläkarförfarande krävs.;Ja, om hen har svensk läkarlegitimation.
90;Vilket symtom är mest typiskt vid amfetaminabstinens?;Uttalad trötthet, nedstämdhet och ökat sömnbehov;Kraftigt förhöjt stämningsläge och minskat sömnbehov;Muskelsmärtor, diarré och gåshud;Tremor, svettningar och perifera hallucinationer;Kraftig salivation, illamående och kräkningar
91;Vilket av följande alternativ är INTE en vanlig biverkning av SSRI?;Sömnstörningar;Viktminskning;Huvudvärk;Illamående;Sexuell dysfunktion
92;Hallucinationer förekommer INTE vid ett av följande tillstånd. Vilket?;Lewykroppsdemens;Delirium tremens;Vanföreställningssyndrom;Schizofreni;Drogutlöst psykos
93;Vilken instans ansvarar för LVM utredning av en person med substansberoende?;Socialnämnden;Chefsöverläkaren vid aktuell psykiatrisk klinik;Verksamhetschefen vid aktuell psykiatrisk klinik;Socialstyrelsen;Förvaltningsrätten
94;Vilket av följande är INTE ett diagnostiskt kriterium för anorexia nervosa?;Störd kroppsupplevelse...;Episodisk hetsätning med olämpligt kompensatoriskt beteende;Signifikant låg kroppsvikt...;Otillräckligt matintag som leder till undervikt;Intensiv rädsla att gå upp i vikt
95;Vilket stämmer bäst gällande testet MMSE vid misstänkt demens?;MMSE är avgörande för att ställa diagnosen demens;MMSE poäng under 24 tyder på demenssjukdom;MMSE poäng påverkas inte av utbildningsnivå;MMSE kan användas för urskilja demens från pseudodemens;MMSE måste genomföras av läkare
96;MS behandlas med immundämpande. Vilken annan neurologisk sjukdom behandlas också så mot orsaken?;ALS;Stroke;Myastenia gravis;Parkinsons sjukdom;Epilepsi
97;Vilken kombination av statusfynd är typiska vid klassisk ALS?;Känselnedsättning och atrofi...;Pares, känselnedsättning, reflexstegring...;Pareser i alla extremiteter, reflexer som är blandat starka (central skada) och svaga (perifer skada), muskelatrofi.;Pares, känselnedsättning, svaga reflexer...;Pares, känselnedsättning...
98;Man 25 år. Synnedsättning höger öga (smärta vid rörelse). Tidigare episod med domningar i ben/armar som gick över. Troligaste diagnos?;Dystoni;ALS;Retinalartärocklusion och diskbråck;Multipel skleros;Fabrys sjukdom
99;Parkinsons sjukdom karakteriseras av följande triad;Tremor, bradykinesi och spasticitet;Tremor, ataxi, hyporeflexitet;Tremor, hyperkinesi och rigiditet;Tremor, hyperkinesi och spasticitet;Tremor, bradykinesi och rigiditet
100;Kvinna 53 år, svår yrsel. NIHSS ua förutom nystagmus. Nystagmus ökar vid blickriktning men ses spontant. Vilken statusmall är tillämplig?;HINTS, för att nystagmusen ses vid huvudvridning.;HINTS, för nystagmusen ses spontant.;Rutinnervstatus, för den skiljer mellan central och perifer vestibularispares.;Ingen - NIHSS är positiv för strokesymtom.;Rutinnervstatus...
